htf,rival_name,hta,team_score,rival_score,team_id,result,date,ground
-,v British Army,-,26,9,7,won,19 Mar 2000,Hanover
-,v Ukraine,-,20,17,7,won,2 Apr 2000,Odessa
-,v Russia,-,6,89,7,lost,16 Apr 2000,Krasnodar
-,v Croatia,-,11,38,7,lost,30 Apr 2000,Hamburg
-,v Denmark,-,19,39,7,lost,7 May 2000,Varel
-,v Poland,-,13,26,7,lost,22 Oct 2000,Berlin
6,v Ukraine,3,12,19,7,lost,12 Nov 2000,Heusenstamm
20,v Czech Rep,6,30,17,7,won,8 Apr 2001,Constance
3,v England,25,18,50,3,lost,5 Feb 2000,Twickenham
-,v Denmark,-,21,10,7,won,28 Apr 2001,Copenhagen
-,v Croatia,-,14,14,7,draw,20 May 2001,Split
10,v Sweden,3,10,32,7,lost,21 Oct 2001,Malmo
21,v Denmark,14,34,24,7,won,10 Nov 2001,Heidelburg
13,v Scotland,10,44,22,3,won,19 Feb 2000,Lansdowne Road
33,v Italy,0,60,13,3,won,4 Mar 2000,Lansdowne Road
7,v France,13,27,25,3,won,19 Mar 2000,Stade de France
6,v Wales,10,19,23,3,lost,1 Apr 2000,Lansdowne Road
25,v Latvia,0,44,0,7,won,24 Nov 2001,Hanover
0,v Poland,3,12,20,7,lost,6 Apr 2002,Gdynia
-,v Ukraine,-,26,26,7,draw,24 Nov 2002,Heidelburg
12,v Netherlands,3,15,3,7,won,9 Mar 2003,Hanover
-,v Poland,-,37,15,7,won,29 Mar 2003,Gdynia
-,v Sweden,-,24,16,7,won,27 Apr 2003,Trelleborg
5,v Argentina,8,23,34,3,lost,3 Jun 2000,Buenos Aires
31,v USA,3,83,3,3,won,10 Jun 2000,Manchester
8,v Canada,21,27,27,3,draw,17 Jun 2000,Markham
-,v Ukraine,-,3,6,7,lost,12 Oct 2003,Kiev
10,v Netherlands,6,13,14,7,lost,10 Apr 2004,Amsterdam
-,v Sweden,-,40,0,7,won,25 Apr 2004,Hanover
5,v Poland,10,34,10,7,won,16 May 2004,Heidelburg
29,v Japan,9,78,9,3,won,11 Nov 2000,Lansdowne Road
10,v South Africa,13,18,28,3,lost,19 Nov 2000,Lansdowne Road
16,v Italy,8,41,22,3,won,3 Feb 2001,Rome
9,v France,3,22,15,3,won,17 Feb 2001,Lansdowne Road
9,v Romania,3,37,3,3,won,2 Jun 2001,Bucharest
13,v Moldova,6,27,18,7,won,13 Nov 2004,Chisinau
53,v Luxembourg,0,96,0,7,won,27 Nov 2004,Heidelburg
-,v Denmark,-,56,0,7,won,2 Apr 2005,Heidelburg
28,v Austria,6,69,9,7,won,23 Apr 2005,Vienna
3,v Malta,0,43,0,7,won,29 Oct 2005,Paola
0,v Scotland,17,10,32,3,lost,22 Sep 2001,Murrayfield
15,v Wales,3,36,6,3,won,13 Oct 2001,Millennium Stadium
11,v England,6,20,14,3,won,20 Oct 2001,Lansdowne Road
16,v Samoa,3,35,8,3,won,11 Nov 2001,Lansdowne Road
16,v New Zealand,7,29,40,3,lost,17 Nov 2001,Lansdowne Road
24,v Wales,3,54,10,3,won,3 Feb 2002,Lansdowne Road
60,v Serbia & Mon,0,108,0,7,won,12 Nov 2005,Heidelburg
10,v Croatia,9,25,15,7,won,22 Apr 2006,Zagreb
21,v Belgium,10,33,15,7,won,29 Apr 2006,Hanover
6,v England,31,11,45,3,lost,16 Feb 2002,Twickenham
22,v Scotland,12,43,22,3,won,2 Mar 2002,Lansdowne Road
19,v Italy,0,32,17,3,won,23 Mar 2002,Lansdowne Road
5,v France,28,5,44,3,lost,6 Apr 2002,Stade de France
3,v New Zealand,10,6,15,3,lost,15 Jun 2002,Dunedin
5,v Spain,3,18,6,7,won,13 May 2006,Heidelburg
10,v Spain,12,10,36,7,lost,27 May 2006,Madrid
28,v Switzerland,3,40,10,7,won,16 Sep 2006,Berne
24,v Moldova,18,24,26,7,lost,11 Nov 2006,Chisinau
19,v Belgium,6,32,13,7,won,18 Nov 2006,Heidelburg
16,v Ukraine,14,22,14,7,won,21 Apr 2007,Kiev
12,v Netherlands,5,21,12,7,won,28 Apr 2007,Hanover
3,v New Zealand,13,8,40,3,lost,22 Jun 2002,Auckland
32,v Romania,3,39,8,3,won,7 Sep 2002,Limerick
18,v Russia,0,35,3,3,won,21 Sep 2002,Krasnoyarsk
42,v Georgia,0,63,14,3,won,28 Sep 2002,Lansdowne Road
3,v Belgium,18,18,32,7,lost,10 Nov 2007,Brussels
17,v Moldova,0,34,5,7,won,24 Nov 2007,Heidelburg
6,v Ukraine,5,13,5,7,won,19 Apr 2008,Hanover
