home_name,competition_name,gameId,hta,away_id,htf,away_logo,league,home_id,home_score,result,date,away_score,home_logo,away_name,ground
Australia,Rugby World Cup,236311,15,2,16,http://assets.espn.go.com/i/teamlogos/countries/500/sco.png,164205,6,35,lost,18 Oct 2015,34,http://assets.espn.go.com/i/teamlogos/countries/500/aus.png,Scotland,Twickenham
England,Rugby World Cup,181969,18,14,8,http://assets.espn.go.com/i/teamlogos/countries/500/fij.png,164205,1,35,lost,18 Sep 2015,11,http://assets.espn.go.com/i/teamlogos/countries/500/eng.png,Fiji,Twickenham
Australia,Rugby World Cup,236319,16,8,3,http://assets.espn.go.com/i/teamlogos/countries/500/nzl.png,164205,6,17,lost,31 Oct 2015,34,http://assets.espn.go.com/i/teamlogos/countries/500/aus.png,New Zealand,Twickenham
Argentina,Rugby World Cup,236317,0,5,16,http://assets.espn.go.com/i/teamlogos/countries/500/rsa.png,164205,10,13,won,30 Oct 2015,24,http://assets.espn.go.com/i/teamlogos/countries/500/arg.png,South Africa,London
England,Rugby World Cup,182003,3,29,21,http://assets.espn.go.com/i/teamlogos/countries/500/uru.png,164205,1,60,won,10 Oct 2015,3,http://assets.espn.go.com/i/teamlogos/countries/500/eng.png,Uruguay,Manchester
Fiji,Rugby World Cup,181997,10,29,26,http://assets.espn.go.com/i/teamlogos/countries/500/uru.png,164205,14,47,won,6 Oct 2015,15,http://assets.espn.go.com/i/teamlogos/countries/500/fij.png,Uruguay,Milton Keynes
Argentina,Rugby World Cup,236309,20,3,10,http://img.scrum.com/scrum/IRFU.png,164205,10,43,lost,18 Oct 2015,20,http://assets.espn.go.com/i/teamlogos/countries/500/arg.png,Ireland,Millennium Stadium
Japan,Rugby World Cup,182005,17,11,8,http://assets.espn.go.com/i/teamlogos/countries/500/usa.png,164205,23,28,lost,11 Oct 2015,18,http://assets.espn.go.com/i/teamlogos/countries/500/jpn.png,United States of America,Gloucester
Wales,Rugby World Cup,181989,17,14,6,http://assets.espn.go.com/i/teamlogos/countries/500/fij.png,164205,4,23,lost,1 Oct 2015,13,http://assets.espn.go.com/i/teamlogos/countries/500/wal.png,Fiji,Millennium Stadium
Philippines,Asian 5 Nations - Divisio,262847,-,17,-,,262825,136,14,won,9 May 2015,27,,Sri Lanka,Ciudad de Victoria
Canada,United States of America tour,263331,6,11,17,http://assets.espn.go.com/i/teamlogos/countries/500/usa.png,270299,25,23,won,22 Aug 2015,41,http://assets.espn.go.com/i/teamlogos/countries/500/can.png,United States of America,Nepean
Sri Lanka,2015 Rugby World Cup Qualifier,214947,19,136,17,,161354,17,25,lost,17 May 2014,26,,Philippines,Colombo
Kazakhstan,Asian 5 Nations - Divisio,262843,7,17,22,,262825,95,14,won,6 May 2015,35,,Sri Lanka,Ciudad de Victoria
Italy,Six Nations,180676,6,1,24,http://assets.espn.go.com/i/teamlogos/countries/500/eng.png,180658,20,11,won,15 Mar 2014,52,http://assets.espn.go.com/i/teamlogos/countries/500/ita.png,England,Rome
Namibia,Rugby World Cup,181980,6,8,34,http://assets.espn.go.com/i/teamlogos/countries/500/nzl.png,164205,82,14,won,24 Sep 2015,58,http://assets.espn.go.com/i/teamlogos/countries/500/nam.png,New Zealand,London
New Zealand,Rugby World Cup,182001,3,16,14,http://assets.espn.go.com/i/teamlogos/countries/500/tga.png,164205,8,47,won,9 Oct 2015,9,http://assets.espn.go.com/i/teamlogos/countries/500/nzl.png,Tonga,Newcastle
Georgia,Rugby World Cup,181991,10,8,22,http://assets.espn.go.com/i/teamlogos/countries/500/nzl.png,164205,81,10,won,2 Oct 2015,43,http://assets.espn.go.com/i/teamlogos/countries/500/geo.png,New Zealand,Millennium Stadium
Japan,2015 Rugby World Cup Qualifier,214941,68,17,0,,161354,23,132,lost,10 May 2014,10,http://assets.espn.go.com/i/teamlogos/countries/500/jpn.png,Sri Lanka,Nagoya
Sri Lanka,2015 Rugby World Cup Qualifier,214939,29,26,0,,161354,17,10,lost,3 May 2014,41,,Hong Kong,Colombo
Ukraine,FIRA Championship D1,273009,15,13,0,,239921,84,30,lost,17 Oct 2015,14,,Poland,Khmelnytski
Canada,Pacific Nations Cup,257957,15,16,10,http://assets.espn.go.com/i/teamlogos/countries/500/tga.png,256449,25,18,won,24 Jul 2015,28,http://assets.espn.go.com/i/teamlogos/countries/500/can.png,Tonga,Vancouver
Namibia,Rugby World Cup,181988,7,16,22,http://assets.espn.go.com/i/teamlogos/countries/500/tga.png,164205,82,21,won,29 Sep 2015,35,http://assets.espn.go.com/i/teamlogos/countries/500/nam.png,Tonga,Exeter
Canada,Pacific Nations Cup,257965,3,11,12,http://assets.espn.go.com/i/teamlogos/countries/500/usa.png,256449,25,13,won,3 Aug 2015,15,http://assets.espn.go.com/i/teamlogos/countries/500/can.png,United States of America,Vancouver
Italy,Rugby World Cup,182008,22,12,3,http://assets.espn.go.com/i/teamlogos/countries/500/rom.png,164205,20,32,lost,11 Oct 2015,22,http://assets.espn.go.com/i/teamlogos/countries/500/ita.png,Romania,Exeter
Georgia,Tonga tour,227303,6,16,3,http://assets.espn.go.com/i/teamlogos/countries/500/tga.png,209459,81,9,won,8 Nov 2014,23,http://assets.espn.go.com/i/teamlogos/countries/500/geo.png,Tonga,Tbilisi
Japan,Pacific Nations Cup,257967,11,16,16,http://assets.espn.go.com/i/teamlogos/countries/500/tga.png,256449,23,20,won,3 Aug 2015,31,http://assets.espn.go.com/i/teamlogos/countries/500/jpn.png,Tonga,Vancouver
New Zealand,England tour,207953,6,1,29,http://assets.espn.go.com/i/teamlogos/countries/500/eng.png,207947,8,36,won,21 Jun 2014,13,http://assets.espn.go.com/i/teamlogos/countries/500/nzl.png,England,Hamilton
Georgia,Rugby World Cup,181971,10,16,3,http://assets.espn.go.com/i/teamlogos/countries/500/tga.png,164205,81,17,lost,19 Sep 2015,10,http://assets.espn.go.com/i/teamlogos/countries/500/geo.png,Tonga,Gloucester
England,New Zealand tour,203137,14,8,11,http://assets.espn.go.com/i/teamlogos/countries/500/nzl.png,201109,1,21,won,8 Nov 2014,24,http://assets.espn.go.com/i/teamlogos/countries/500/eng.png,New Zealand,Twickenham
New Zealand,England tour,207949,9,1,9,http://assets.espn.go.com/i/teamlogos/countries/500/eng.png,207947,8,20,won,7 Jun 2014,15,http://assets.espn.go.com/i/teamlogos/countries/500/nzl.png,England,Auckland
Canada,Rugby World Cup,181998,8,12,0,http://assets.espn.go.com/i/teamlogos/countries/500/rom.png,164205,25,15,won,6 Oct 2015,17,http://assets.espn.go.com/i/teamlogos/countries/500/can.png,Romania,Leicester
Korea,2015 Rugby World Cup Qualifier,214935,30,17,3,,161354,49,59,lost,26 Apr 2014,3,,Sri Lanka,Incheon
Romania,Six Nations B,240001,9,81,3,http://assets.espn.go.com/i/teamlogos/countries/500/geo.png,239925,12,6,lost,21 Mar 2015,15,http://assets.espn.go.com/i/teamlogos/countries/500/rom.png,Georgia,Bucharest
Romania,Nations Cup,249665,3,18,16,,249659,12,35,won,12 Jun 2015,9,http://assets.espn.go.com/i/teamlogos/countries/500/rom.png,Spain,Bucharest
Russia,Six Nations B,239987,3,12,10,http://assets.espn.go.com/i/teamlogos/countries/500/rom.png,239925,57,16,lost,28 Feb 2015,13,,Romania,Krasnodar
New Zealand,England tour,207951,10,1,6,http://assets.espn.go.com/i/teamlogos/countries/500/eng.png,207947,8,28,won,14 Jun 2014,27,http://assets.espn.go.com/i/teamlogos/countries/500/nzl.png,England,Dunedin
Romania,Six Nations B,239979,3,18,12,,239925,12,29,won,14 Feb 2015,8,http://assets.espn.go.com/i/teamlogos/countries/500/rom.png,Spain,Cluj
Romania,Nations Cup,249669,3,82,17,http://assets.espn.go.com/i/teamlogos/countries/500/nam.png,249659,12,43,won,17 Jun 2015,3,http://assets.espn.go.com/i/teamlogos/countries/500/rom.png,Namibia,Bucharest
Romania,Tonga tour,268229,10,16,6,http://assets.espn.go.com/i/teamlogos/countries/500/tga.png,264135,12,16,lost,5 Sep 2015,21,http://assets.espn.go.com/i/teamlogos/countries/500/rom.png,Tonga,Bucharest
Romania,2015 Rugby World Cup Qualifier,190265,0,21,14,,161354,12,29,won,8 Mar 2014,10,http://assets.espn.go.com/i/teamlogos/countries/500/rom.png,Belgium,Constanta
